<<<<<<< HEAD
Birkás Lajos;Klapka utca 14. 9. emelet 4. ajtó;Kovács Péter;MN 189058058937902;X;;;;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Csángó Pál;Hullám utca 29. ;Bányászati Ipari-, Szolgáltató és Kereskedelmi Kft.;PL 820294959514944;X;;;;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Dobó Ernő;Pilis utca 167. földszint 2. ajtó;Bárány Kereskedelmi Szolgáltató Kft.;QT 904847120912541;X;;;;X;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Érsek Márta;Esztergom út 43.;András Kereskedelmi és Szolgáltató Kft.;PO 272693536933563;X;;;;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Farádi Anikó;Béke utca 129. 5. emelet 3. ajtó;Kárász Margit;RT 140829001861725;X;;;;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Gál Ádám;Vértes utca 12. 10. emelet 6. ajtó;Liszt Péter;RE 687518504933855;;X;;;X;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Hegedűs Zoltán;Bakony utca 5.;Natura Tőzegbánya Üzemeltető és Szolgáltató Kft.;PL 705547231485165;X;;;;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Illés Miklós;Szobor utca 4-8.;Nyírtrans Fuvarozó és Szolgáltató Kft.;XZ 834976680953643;;X;;;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Jakab Ágnes;Szikla utca 4.;Cinege Ágnes;KL 904731998653221;;;X;;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Káli Lajos;Mura utca 1.;Nagy Könyv Kiadó;PO 411903020292452;;;X;;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Kocsis Judit;Gyöngyös utca 51. 3. emelet 1.;Neo Kereskedelmi és Szolgáltató Kft.;MN 389344729424918;;;X;;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Kósa Gyula;Bakony utca 2.;Kavics Bányászati és Szolgáltató Kft.;JH 901382655309443;;X;;;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Kovács Rita;Hajdú utca 48. 6. emelet 2.;Ipari, Kereskedelmi és Szolgáltató Kft.;PL 037259296143605;;X;;;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Kozma Kálmán;Mecsek tér 30-36.;Tisza Anna;CA 271192867322528;X;;;;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Lakatos Réka;Somló út 24.;Vörös Károly;PO 768478476030731;X;;;;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Lázár Tamás;Jakab utca 2.;Beszerző és Értékesítő Kft.;SG 467995497278122;X;;;;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Nagy Zsuzsa;Kassák utca 66.;Bányászati, Geodéziai és Szolgáltató Kft.;PL 144186510089047;;;;X;X;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Pál Beáta;Bodor u. 12.;B&B Kereskedelmi és Szolgáltató Kft.;KJ 2111579033110820;;;X;;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Pásztor Mihály;Szegedi utca 31.;Pompei Szolgáltató Kft.;AZ 633576400390613;;X;;;X;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Pataky József;Gyermek tér 7.  2. emelet 2. ajtó;Termelő, Kereskedelmi és Szolgáltató Kft.;RL 584766867710054;X;;;;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Rácz Mária;Vőlegény utca 12. földszint 2. ajtó;Nagy Könyv Kiadó;MN 751835374321642;X;;;;X;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Rózsa Róbert;Süll utca 9.;B&B Kereskedelmi és Szolgáltató Kft.;PL 206629742150010;X;;;;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Sas Ignácz;Göncöl utca 41-43. 3. emelet 1. ajtó;Kommunális és Szolgáltató Kht.;QT 750363569805750;X;;;;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Simon Simon;Szegedi utca 23. 6. emelet 3. ajtó;Bányászati, Geodéziai és Szolgáltató Kft.;ZT 290300437949795;X;;;;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Sós Miklós;Tisza tér 4.;Vörös Károly;QT 521954118437016;;;;;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Szabó Mária;Salgó út 23.;Nagy Könyv Kiadó;XZ 256444325356395;;;X;;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Szűcs György;Révész utca 12. 2. emelet 2. ajtó;Kavicsbánya Kft.;CA 409942871773052;;;;X;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Tatai Márk;Bajai sétány 23.;Nyeremény Termelő és Szolgáltató Bt.;CA 952557410191414;;;;X;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Tóbiás Krisztina;Tó utca 2.;Kavicsbánya és Építő Kft.;AZ 458668557972552;;X;;;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Tóth János;Bakony utca 5.;Piros Szállító és Műszaki Kft.;QT 004621434180705;X;;;;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Varga István;Szobor utca 4-8.;Nagy Könyv Kiadó;PO 75791372615140;X;;;;X;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
Vígh Éva;Hajdú utca 48. 3. emelet 4. ajtó;Zöld Ipari és Szolgáltató Bt.;PL 544169084370118;X;;;;;"1139 Budapest, Fiastyúk utca 7.";"H-P: 08:00-19:00";"Tel.: (06-1)349-6928";6257
>>>>>>> 7259485f08ecef6920355fee6a4dda9dd4dd5b1f
